END_ID;latitude;longitude;SUBCLASS;SUBHIERARQUIA;NOME DO PRÉDIO;NE NAME;REGIONAL;UF;Testes Programados GMG;MANTENEDORA;ATENDIMENTO;LOCALIDADE;TIPO ;DETENTOR DA ÁREA;TIPO DE INFRA;TIPO DE ABRIGO ;OWNER RESPONSÁVEL;Resp. Green;CLASSIFICAÇÃO;Elemento de rede;TIPOLOGIA TRANSPORTE;REGIONAL_OLD;TIPO DE CONTRATO DA ÁREA;TIPO DE ABRIGO;ENDEREÇO;LATITUDE;LONGITUDE;CLASSFICAÇÃO GSBI
SCAQI_0002;-26,37014;-48,72322;;;;;;;;;;;;;;;;;;;;;;;;;;
SCJVE_0016;-26,34208;-48,81444;;;;;;;;;;;;;;;;;;;;;;;;;;
SCJVE_0017;-26,32903;-48,84211;;;;;;;;;;;;;;;;;;;;;;;;;;
SCTVO_0001;-28,92806;-49,67944;;;;;;;;;;;;;;;;;;;;;;;;;;
SCPAC_0005;-27,6335;-48,65628;;;;;;;;;;;;;;;;;;;;;;;;;;
SCBNU_0011;-26,91641;-49,06951;;;;;;;;;;;;;;;;;;;;;;;;;;
SCAOSA0001;-28,98661;-49,41328;;;;;;;;;;;;;;;;;;;;;;;;;;
SCJVE_0018;-26,23564;-48,81669;;;;;;;;;;;;;;;;;;;;;;;;;;
SCSGE_0001;-26,73111;-53,51056;;;;;;;;;;;;;;;;;;;;;;;;;;
SCFNS_0045;-27,55669;-48,4975;;;;;;;;;;;;;;;;;;;;;;;;;;
RJRJO_1763;-22,90444;-43,18;;;;;;;;;;;;;;;;;;;;;;;;;;
RJRJO_1792;-22,90379;-43,25803;;;;;;;;;;;;;;;;;;;;;;;;;;
SCBNU_0012;-26,91758;-49,08411;;;;;;;;;;;;;;;;;;;;;;;;;;
SCSCH_0001;-26,41028;-49,07417;;;;;;;;;;;;;;;;;;;;;;;;;;
SCBCU_0012;-26,98267;-48,63544;;;;;;;;;;;;;;;;;;;;;;;;;;
PICCX_0001;-3,46558;-41,57028;;;;;;;;;;;;;;;;;;;;;;;;;;
MGURA_0016;-19,71917;-47,91306;;;;;;;;;;;;;;;;;;;;;;;;;;
